event_date,event_name,weight_class,fighter1,fighter2,favourite,underdog,favourite_odds,underdog_odds,betting_outcome,outcome,method,round,fighter1_height,fighter1_curr_weight,fighter1_dob,fighter1_reach,fighter1_stance,fighter1_sig_strikes_landed_pm,fighter1_sig_strikes_accuracy,fighter1_sig_strikes_absorbed_pm,fighter1_sig_strikes_defended,fighter1_takedown_avg_per15m,fighter1_takedown_accuracy,fighter1_takedown_defence,fighter1_submission_avg_attempted_per15m,fighter2_height,fighter2_curr_weight,fighter2_dob,fighter2_reach,fighter2_stance,fighter2_sig_strikes_landed_pm,fighter2_sig_strikes_accuracy,fighter2_sig_strikes_absorbed_pm,fighter2_sig_strikes_defended,fighter2_takedown_avg_per15m,fighter2_takedown_accuracy,fighter2_takedown_defence,fighter2_submission_avg_attempted_per15m,events_extract_ts,odds_extract_ts,fighter_extract_ts,match_key
2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Women's Flyweight,alexa grasso,valentina shevchenko,Valentina Shevchenko,Alexa Grasso,1.67,2.88,,Draw,S-DEC,5.0,165.1,56.699,09/08/1993,167.64,Orthodox,4.67,0.43,3.95,0.58,0.41,0.45,0.59,0.6,165.1,56.699,07/03/1988,167.64,Southpaw,3.28,0.52,2.11,0.62,2.56,0.63,0.71,0.4,02:55.2,40:25.9,50:57.0,2023-09-16_alexa grasso_valentina shevchenko
2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Welterweight,jack della maddalena,kevin holland,Jack Della Maddalena,Kevin Holland,1.98,2.0,favourite,fighter1,S-DEC,3.0,180.34,77.11064,10/09/1996,185.42,Switch,7.2,0.53,4.83,0.67,0.27,0.2,0.82,0.3,190.5,77.11064,05/11/1992,205.74,Orthodox,4.39,0.49,3.22,0.51,0.78,0.38,0.53,0.5,02:55.2,40:25.9,50:57.0,2023-09-16_jack della maddalena_kevin holland
2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Bantamweight,raul rosas jr.,terrence mitchell,,,,,,fighter1,KO/TKO              Punches,1.0,175.26,61.23492,08/10/2004,170.18,Switch,1.28,0.44,1.52,0.46,3.57,0.33,0.0,1.8,177.8,61.23492,30/12/1989,187.96,Orthodox,2.21,0.34,8.85,0.41,3.69,0.5,0.0,0.0,02:55.2,,50:57.0,2023-09-16_raul rosas jr._terrence mitchell
2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Lightweight,daniel zellhuber,christos giagos,Daniel Zellhuber,Christos Giagos,1.4,3.1,favourite,fighter1,SUB              Anaconda Choke,2.0,185.42,70.30676,07/07/1999,195.58,Switch,5.26,0.39,4.79,0.53,0.28,0.33,0.94,0.3,177.8,70.30676,23/01/1990,180.34,Orthodox,2.98,0.42,2.95,0.51,2.93,0.37,0.52,0.4,02:55.2,40:25.9,50:57.0,2023-09-16_daniel zellhuber_christos giagos
2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Featherweight,kyle nelson,fernando padilla,Fernando Padilla,Kyle Nelson,1.4,3.15,underdog,fighter1,U-DEC,3.0,180.34,65.77084,20/04/1991,180.34,Switch,3.46,0.44,4.56,0.52,1.15,0.2,0.73,0.7,185.42,65.77084,15/12/1996,193.04,Orthodox,5.51,0.38,5.81,0.53,0.0,0.0,1.0,0.0,02:55.2,40:25.9,50:57.0,2023-09-16_kyle nelson_fernando padilla
2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Women's Strawweight,loopy godinez,elise reed,,,,,,fighter1,SUB              Rear Naked Choke,2.0,157.48,52.16308,06/09/1993,154.94,Orthodox,4.03,0.5,3.52,0.62,3.82,0.47,0.82,1.3,160.02,52.16308,05/12/1992,160.02,Orthodox,2.66,0.49,3.06,0.52,0.58,0.6,0.42,0.0,02:55.2,,50:57.0,2023-09-16_loopy godinez_elise reed
2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Middleweight,roman kopylov,josh fremd,Roman Kopylov,Josh Fremd,1.24,4.0,favourite,fighter1,KO/TKO              Punch,2.0,182.88,83.91452,04/05/1991,190.5,Southpaw,4.72,0.53,4.11,0.6,0.47,0.5,0.92,0.0,193.04,83.91452,15/01/1994,193.04,Orthodox,2.93,0.43,2.63,0.47,0.84,0.25,0.31,1.4,02:55.2,40:25.9,50:57.0,2023-09-16_roman kopylov_josh fremd
2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Flyweight,edgar chairez,daniel lacerda,Edgar Chairez,Daniel Lacerda,1.45,2.85,,No contest,Overturned,1.0,170.18,56.699,27/01/1996,180.34,Orthodox,2.6,0.48,4.26,0.41,0.0,0.0,0.45,1.3,167.64,56.699,05/06/1996,177.8,Switch,4.16,0.47,8.7,0.34,1.91,0.42,0.0,1.3,02:55.2,40:25.9,50:57.0,2023-09-16_edgar chairez_daniel lacerda
2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Women's Flyweight,tracy cortez,jasmine jasudavicius,Tracy Cortez,Jasmine Jasudavicius,1.93,2.1,favourite,fighter1,U-DEC,3.0,165.1,56.699,10/12/1993,165.1,Orthodox,4.11,0.53,2.79,0.6,2.33,0.46,0.75,0.3,170.18,56.699,01/03/1989,172.72,Orthodox,3.54,0.4,4.41,0.51,2.17,0.37,0.8,0.0,02:55.2,40:25.9,50:57.0,2023-09-16_tracy cortez_jasmine jasudavicius
2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Lightweight,charlie campbell,alex reyes,Charlie Campbell,Alex Reyes,1.18,5.0,favourite,fighter1,KO/TKO              Punches,1.0,182.88,70.30676,03/07/1995,182.88,Orthodox,11.03,0.54,5.42,0.6,0.0,0.0,1.0,0.0,180.34,70.30676,02/10/1986,185.42,Orthodox,4.04,0.39,10.91,0.4,0.0,0.0,0.0,0.0,02:55.2,40:25.9,50:57.0,2023-09-16_charlie campbell_alex reyes
2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Women's Strawweight,josefine knutsson,marnic mann,Josefine Knutsson,Marnic Mann,1.14,6.0,favourite,fighter1,U-DEC,3.0,160.02,52.16308,16/01/1996,152.4,Orthodox,3.73,0.52,1.33,0.64,2.67,0.72,1.0,0.0,152.4,52.16308,05/03/1993,162.56,Southpaw,1.1,0.42,4.93,0.31,1.83,0.3,0.16,0.0,02:55.2,40:25.9,50:57.0,2023-09-16_josefine knutsson_marnic mann
2023-09-09,UFC 293: Adesanya vs. Strickland,Middleweight,sean strickland,israel adesanya,Israel Adesanya,Sean Strickland,1.22,5.8,underdog,fighter1,U-DEC,5.0,185.42,83.91452,27/02/1991,193.04,Orthodox,5.82,0.41,4.24,0.63,0.92,0.64,0.84,0.2,193.04,83.91452,22/07/1989,203.2,Switch,3.93,0.48,3.11,0.56,0.05,0.14,0.77,0.1,02:55.2,40:25.9,50:57.0,2023-09-09_sean strickland_israel adesanya
2023-09-09,UFC 293: Adesanya vs. Strickland,Heavyweight,alexander volkov,tai tuivasa,Alexander Volkov,Tai Tuivasa,1.41,3.05,favourite,fighter1,SUB              Ezekiel Choke,2.0,200.66,113.398,24/10/1988,203.2,Orthodox,5.1,0.57,3.0,0.54,0.49,0.63,0.73,0.2,187.96,119.748288,16/03/1993,190.5,Southpaw,3.98,0.49,4.98,0.43,0.0,0.0,0.54,0.0,02:55.2,40:25.9,50:57.0,2023-09-09_alexander volkov_tai tuivasa
2023-09-09,UFC 293: Adesanya vs. Strickland,Flyweight,manel kape,felipe dos santos,,,,,,fighter1,U-DEC,3.0,165.1,56.699,14/11/1993,172.72,Southpaw,5.12,0.54,4.51,0.59,0.65,0.37,0.77,0.4,170.18,56.699,11/09/2000,177.8,Orthodox,6.6,0.32,7.47,0.38,0.0,0.0,0.0,0.0,02:55.2,,50:57.0,2023-09-09_manel kape_felipe dos santos
2023-09-09,UFC 293: Adesanya vs. Strickland,Heavyweight,justin tafa,austen lane,Justin Tafa,Austen Lane,1.48,2.9,favourite,fighter1,KO/TKO              Punch,1.0,182.88,119.748288,13/12/1993,187.96,Southpaw,5.13,0.55,5.93,0.49,0.0,0.0,1.0,0.0,198.12,111.13004,09/11/1987,203.2,Orthodox,4.48,0.47,2.85,0.48,0.0,0.0,0.0,0.0,02:55.2,40:25.9,50:57.0,2023-09-09_justin tafa_austen lane
2023-09-09,UFC 293: Adesanya vs. Strickland,Light Heavyweight,tyson pedro,anton turkalj,Anton Turkalj,Tyson Pedro,1.95,2.0,underdog,fighter1,KO/TKO              Punch,1.0,190.5,92.98636,17/09/1991,200.66,Orthodox,3.11,0.61,2.53,0.54,0.94,0.36,0.52,0.9,193.04,92.98636,10/06/1996,198.12,Orthodox,1.72,0.53,2.48,0.49,6.55,0.51,0.16,0.0,02:55.2,40:25.9,50:57.0,2023-09-09_tyson pedro_anton turkalj
2023-09-09,UFC 293: Adesanya vs. Strickland,Light Heavyweight,carlos ulberg,da woon jung,,,,,,fighter1,SUB              Rear Naked Choke,3.0,193.04,92.98636,07/11/1990,195.58,Orthodox,7.29,0.59,3.59,0.52,0.95,0.75,0.75,0.3,193.04,92.98636,07/12/1993,198.12,Orthodox,3.49,0.43,3.89,0.51,1.9,0.5,0.77,0.2,02:55.2,,50:57.0,2023-09-09_carlos ulberg_da woon jung
2023-09-09,UFC 293: Adesanya vs. Strickland,Featherweight,chepe mariscal,jack jenkins,,,,,,fighter1,KO/TKO,2.0,170.18,65.77084,27/10/1992,175.26,Orthodox,4.67,0.53,3.95,0.52,3.22,0.38,1.0,0.6,170.18,65.77084,03/11/1993,172.72,Switch,4.43,0.61,3.07,0.59,2.56,0.69,0.75,0.0,02:55.2,,50:57.0,2023-09-09_chepe mariscal_jack jenkins
2023-09-09,UFC 293: Adesanya vs. Strickland,Lightweight,jamie mullarkey,john makdessi,Jamie Mullarkey,John Makdessi,1.4,3.15,favourite,fighter1,U-DEC,3.0,182.88,70.30676,17/08/1994,187.96,Orthodox,4.46,0.47,4.41,0.54,2.46,0.34,0.76,0.1,172.72,70.30676,03/05/1985,172.72,Orthodox,5.52,0.49,4.15,0.68,0.0,0.0,0.86,0.0,02:55.2,40:25.9,50:57.0,2023-09-09_jamie mullarkey_john makdessi
2023-09-09,UFC 293: Adesanya vs. Strickland,Lightweight,nasrat haqparast,landon quinones,,,,,,fighter1,U-DEC,3.0,177.8,70.30676,22/08/1995,182.88,Southpaw,5.73,0.44,5.26,0.64,0.32,0.2,0.78,0.0,175.26,70.30676,21/11/1995,177.8,Southpaw,9.87,0.41,11.4,0.54,0.0,0.0,1.0,0.0,02:55.2,,50:57.0,2023-09-09_nasrat haqparast_landon quinones
2023-09-09,UFC 293: Adesanya vs. Strickland,Welterweight,charles radtke,blood diamond,,,,,,fighter1,U-DEC,3.0,175.26,77.11064,09/07/1990,182.88,Orthodox,2.33,0.46,2.93,0.53,1.0,0.16,1.0,0.0,180.34,77.11064,10/07/1988,193.04,Switch,3.12,0.55,2.17,0.48,0.0,0.0,0.73,0.0,02:55.2,,50:57.0,2023-09-09_charles radtke_blood diamond
2023-09-09,UFC 293: Adesanya vs. Strickland,Featherweight,gabriel miranda,shane young,Shane Young,Gabriel Miranda,1.62,2.45,underdog,fighter1,SUB              Rear Naked Choke,1.0,180.34,65.77084,25/03/1990,180.34,Orthodox,3.52,0.51,6.88,0.39,4.8,0.4,0.0,2.4,172.72,65.77084,31/07/1993,182.88,Orthodox,5.19,0.4,5.46,0.52,0.63,0.18,0.64,0.0,02:55.2,40:25.9,50:57.0,2023-09-09_gabriel miranda_shane young
2023-09-09,UFC 293: Adesanya vs. Strickland,Welterweight,kevin jousset,kiefer crosbie,Kevin Jousset,Kiefer Crosbie,1.65,2.45,favourite,fighter1,SUB              Rear Naked Choke,1.0,187.96,77.11064,02/05/1993,190.5,Orthodox,6.02,0.5,8.1,0.33,3.11,1.0,0.0,3.1,180.34,77.11064,05/04/1990,177.8,Switch,8.1,0.66,6.02,0.5,0.0,0.0,0.0,0.0,02:55.2,40:25.9,50:57.0,2023-09-09_kevin jousset_kiefer crosbie
2023-09-02,UFC Fight Night: Gane vs. Spivac,Heavyweight,ciryl gane,serghei spivac,,,,,,fighter1,KO/TKO              Punches,2.0,193.04,111.13004,12/04/1990,205.74,Orthodox,5.49,0.6,2.19,0.63,0.58,0.21,0.5,0.5,190.5,117.93392,24/01/1995,198.12,Orthodox,3.54,0.49,3.79,0.49,4.56,0.64,0.7,0.5,02:55.2,,50:57.0,2023-09-02_ciryl gane_serghei spivac
2023-09-02,UFC Fight Night: Gane vs. Spivac,Women's Flyweight,manon fiorot,rose namajunas,Manon Fiorot,Rose Namajunas,1.53,2.65,favourite,fighter1,U-DEC,3.0,170.18,56.699,17/02/1990,165.1,Orthodox,6.05,0.39,3.31,0.69,1.36,0.46,0.91,0.0,165.1,56.699,29/06/1992,165.1,Orthodox,3.68,0.4,3.53,0.62,1.49,0.48,0.6,0.6,02:55.2,40:25.9,50:57.0,2023-09-02_manon fiorot_rose namajunas
2023-09-02,UFC Fight Night: Gane vs. Spivac,Lightweight,benoit saint denis,thiago moises,,,,,,fighter1,KO/TKO              Punches,2.0,180.34,70.30676,18/12/1995,185.42,Southpaw,5.59,0.52,5.27,0.44,4.72,0.36,0.8,1.4,175.26,70.30676,23/03/1995,177.8,Orthodox,2.47,0.39,4.4,0.54,1.53,0.4,0.56,1.3,02:55.2,,50:57.0,2023-09-02_benoit saint denis_thiago moises
2023-09-02,UFC Fight Night: Gane vs. Spivac,Light Heavyweight,volkan oezdemir,bogdan guskov,Volkan Oezdemir,Bogdan Guskov,1.57,2.45,favourite,fighter1,SUB              Rear Naked Choke,1.0,187.96,92.98636,19/09/1989,190.5,Orthodox,4.59,0.47,3.92,0.55,0.57,0.33,0.8,0.1,190.5,92.98636,12/09/1992,193.04,Orthodox,2.12,0.32,6.9,0.43,0.0,0.0,0.0,0.0,02:55.2,40:25.9,50:57.0,2023-09-02_volkan oezdemir_bogdan guskov
2023-09-02,UFC Fight Night: Gane vs. Spivac,Featherweight,william gomis,yanis ghemmouri,William Gomis,Yanis Ghemmouri,1.52,2.67,favourite,fighter1,KO/TKO              Kick,3.0,182.88,65.77084,13/06/1997,185.42,Southpaw,2.62,0.46,1.49,0.75,1.06,0.6,0.81,0.7,175.26,65.77084,24/01/1995,175.26,Orthodox,2.27,0.38,4.22,0.4,0.0,0.0,0.0,0.0,02:55.2,40:25.9,50:57.0,2023-09-02_william gomis_yanis ghemmouri
2023-09-02,UFC Fight Night: Gane vs. Spivac,Featherweight,morgan charriere,manolo zecchini,Morgan Charriere,Manolo Zecchini,1.28,3.97,favourite,fighter1,KO/TKO              Kicks,1.0,172.72,65.77084,26/10/1995,175.26,Orthodox,6.75,0.53,2.34,0.78,0.0,0.0,0.0,0.0,172.72,65.77084,22/10/1996,172.72,Orthodox,2.34,0.21,6.75,0.46,0.0,0.0,0.0,0.0,02:55.2,40:25.9,50:57.0,2023-09-02_morgan charriere_manolo zecchini
2023-09-02,UFC Fight Night: Gane vs. Spivac,Bantamweight,taylor lapilus,caolan loughran,Taylor Lapilus,Caolan Loughran,1.59,2.45,favourite,fighter1,U-DEC,3.0,167.64,61.23492,08/04/1992,185.42,Southpaw,4.18,0.47,2.27,0.62,0.45,0.4,0.81,0.5,167.64,61.23492,18/05/1996,172.72,Orthodox,3.2,0.36,5.6,0.48,2.0,0.18,0.0,0.0,02:55.2,40:25.9,50:57.0,2023-09-02_taylor lapilus_caolan loughran
2023-09-02,UFC Fight Night: Gane vs. Spivac,Welterweight,ange loosa,rhys mckee,Ange Loosa,Rhys McKee,1.67,2.25,favourite,fighter1,U-DEC,3.0,177.8,77.11064,18/03/1993,187.96,Orthodox,6.32,0.46,6.88,0.51,2.25,0.45,1.0,0.2,187.96,77.11064,10/09/1995,198.12,Orthodox,6.06,0.48,9.47,0.44,0.0,0.0,0.33,0.0,02:55.2,40:25.9,50:57.0,2023-09-02_ange loosa_rhys mckee
2023-09-02,UFC Fight Night: Gane vs. Spivac,Women's Bantamweight,nora cornolle,joselyne edwards,Joselyne Edwards,Nora Cornolle,1.72,2.18,underdog,fighter1,U-DEC,3.0,170.18,61.23492,06/12/1989,170.18,Orthodox,2.67,0.51,1.2,0.57,0.0,0.0,0.37,0.0,172.72,61.23492,29/09/1995,177.8,Orthodox,4.71,0.52,3.36,0.5,1.0,0.33,0.64,0.3,02:55.2,40:25.9,50:57.0,2023-09-02_nora cornolle_joselyne edwards
2023-09-02,UFC Fight Night: Gane vs. Spivac,Bantamweight,farid basharat,kleydson rodrigues,Farid Basharat,Kleydson Rodrigues,1.27,3.92,favourite,fighter1,SUB              Arm Triangle,1.0,172.72,61.23492,02/08/1997,180.34,Orthodox,5.2,0.63,2.34,0.58,3.5,0.53,0.83,0.4,165.1,61.23492,22/10/1995,170.18,Orthodox,5.48,0.62,2.75,0.48,0.85,0.25,0.63,0.8,02:55.2,40:25.9,50:57.0,2023-09-02_farid basharat_kleydson rodrigues
2023-09-02,UFC Fight Night: Gane vs. Spivac,Catch Weight,jacqueline cavalcanti,zarah fairn,,,,,,fighter1,U-DEC,3.0,172.72,61.23492,29/08/1997,177.8,Orthodox,8.4,0.57,2.6,0.84,0.0,0.0,1.0,0.0,172.72,61.23492,10/12/1983,182.88,Orthodox,4.55,0.31,7.4,0.45,0.0,0.0,0.6,0.0,02:55.2,,50:57.0,2023-09-02_jacqueline cavalcanti_zarah fairn
2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Featherweight,max holloway,chan sung jung,Max Holloway,Chan Sung Jung,1.15,6.5,favourite,fighter1,KO/TKO              Punch,3.0,180.34,65.77084,04/12/1991,175.26,Orthodox,7.17,0.47,4.75,0.59,0.27,0.53,0.84,0.3,170.18,65.77084,17/03/1987,182.88,Orthodox,3.93,0.41,4.52,0.52,0.7,0.44,0.72,0.6,02:55.2,40:25.9,50:57.0,2023-08-26_max holloway_chan sung jung
2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Light Heavyweight,anthony smith,ryan spann,Ryan Spann,Anthony Smith,1.67,2.25,underdog,fighter1,S-DEC,3.0,193.04,92.98636,26/07/1988,193.04,Orthodox,3.16,0.48,4.45,0.46,0.52,0.28,0.48,0.7,195.58,92.98636,24/08/1991,200.66,Orthodox,3.42,0.4,3.91,0.45,1.29,0.35,0.47,1.5,02:55.2,40:25.9,50:57.0,2023-08-26_anthony smith_ryan spann
2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Featherweight,giga chikadze,alex caceres,Giga Chikadze,Alex Caceres,1.44,2.9,favourite,fighter1,U-DEC,3.0,182.88,65.77084,25/08/1988,187.96,Orthodox,4.08,0.43,3.44,0.62,0.23,0.33,0.69,0.2,177.8,65.77084,20/06/1988,185.42,Southpaw,4.16,0.5,2.93,0.63,0.56,0.68,0.64,0.7,02:55.2,40:25.9,50:57.0,2023-08-26_giga chikadze_alex caceres
2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Bantamweight,rinya nakamura,fernie garcia,,,,,,fighter1,U-DEC,3.0,170.18,61.23492,23/03/1995,172.72,Southpaw,4.23,0.54,1.78,0.7,4.23,0.85,1.0,2.8,170.18,61.23492,12/04/1992,170.18,Orthodox,1.8,0.34,2.69,0.5,0.32,0.5,0.47,0.6,02:55.2,,50:57.0,2023-08-26_rinya nakamura_fernie garcia
2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Women's Flyweight,erin blanchfield,taila santos,Erin Blanchfield,Taila Santos,1.77,2.15,favourite,fighter1,U-DEC,3.0,162.56,56.699,04/05/1999,167.64,Orthodox,5.58,0.52,3.32,0.62,2.86,0.36,0.83,1.2,167.64,56.699,22/06/1993,172.72,Orthodox,3.39,0.48,2.64,0.58,2.0,0.76,0.86,1.1,02:55.2,40:25.9,50:57.0,2023-08-26_erin blanchfield_taila santos
2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Heavyweight,junior tafa,parker porter,Junior Tafa,Parker Porter,inf,inf,favourite,fighter1,KO/TKO              Punch,1.0,190.5,108.86208,21/09/1996,190.5,Orthodox,1.83,0.4,0.55,0.76,0.0,0.0,0.84,0.0,182.88,120.20188,22/04/1985,190.5,Orthodox,6.55,0.5,6.32,0.51,1.35,0.26,0.66,0.5,02:55.2,40:25.9,50:57.0,2023-08-26_junior tafa_parker porter
2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Heavyweight,waldo cortes-acosta,lukasz brzeski,Waldo Cortes-Acosta,Lukasz Brzeski,inf,inf,favourite,fighter1,KO/TKO              Punches,1.0,193.04,117.93392,03/10/1991,198.12,Orthodox,6.97,0.5,4.06,0.52,0.0,0.0,0.6,0.0,193.04,107.047712,17/05/1992,198.12,Orthodox,5.08,0.48,3.46,0.57,0.64,0.5,0.42,0.6,02:55.2,40:25.9,50:57.0,2023-08-26_waldo cortes-acosta_lukasz brzeski
2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Bantamweight,garrett armfield,toshiomi kazama,Garrett Armfield,Toshiomi Kazama,1.62,2.5,favourite,fighter1,KO/TKO              Punches,1.0,167.64,61.23492,09/10/1996,177.8,Orthodox,5.29,0.44,3.52,0.57,0.0,0.0,0.75,0.0,170.18,61.23492,15/05/1997,175.26,Orthodox,2.22,0.54,3.94,0.45,1.51,0.13,0.66,0.0,02:55.2,40:25.9,50:57.0,2023-08-26_garrett armfield_toshiomi kazama
2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Middleweight,michal oleksiejczuk,chidi njokuani,Michal Oleksiejczuk,Chidi Njokuani,1.83,2.0,favourite,fighter1,KO/TKO              Punches,1.0,182.88,83.91452,22/02/1995,187.96,Southpaw,5.12,0.5,4.17,0.62,0.76,0.44,0.48,0.0,190.5,83.91452,31/12/1988,203.2,Orthodox,4.04,0.6,3.19,0.53,0.0,0.0,0.67,0.3,02:55.2,40:25.9,50:57.0,2023-08-26_michal oleksiejczuk_chidi njokuani
2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Welterweight,song kenan,rolando bedoya,,,,,,fighter1,U-DEC,3.0,182.88,77.11064,10/03/1990,180.34,Orthodox,4.4,0.47,5.86,0.52,0.41,0.66,0.62,0.0,180.34,77.11064,13/01/1997,187.96,Orthodox,8.7,0.55,6.83,0.52,0.0,0.0,0.0,0.0,02:55.2,,50:57.0,2023-08-26_song kenan_rolando bedoya
2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Welterweight,billy goff,yusaku kinoshita,Yusaku Kinoshita,Billy Goff,1.62,2.35,underdog,fighter1,KO/TKO              Punch,1.0,177.8,77.11064,18/06/1998,182.88,Switch,10.22,0.46,4.3,0.64,4.04,0.4,1.0,0.0,182.88,77.11064,21/08/2000,180.34,Southpaw,4.65,0.5,5.12,0.51,0.0,0.0,0.5,0.0,02:55.2,40:25.9,50:57.0,2023-08-26_billy goff_yusaku kinoshita
2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Women's Flyweight,jj aldrich,liang na,,,,,,fighter1,KO/TKO              Elbows,2.0,165.1,56.699,29/09/1992,170.18,Southpaw,4.02,0.46,4.54,0.6,0.77,0.25,0.65,0.0,165.1,56.699,27/07/1996,170.18,Orthodox,1.93,0.4,4.48,0.27,5.1,0.6,0.0,0.8,02:55.2,,50:57.0,2023-08-26_jj aldrich_liang na
2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Featherweight,seungwoo choi,jarno errens,,,,,,fighter1,U-DEC,3.0,182.88,65.77084,03/11/1992,187.96,Orthodox,3.48,0.38,3.02,0.47,0.87,0.54,0.69,0.0,180.34,65.77084,17/11/1994,185.42,Orthodox,1.67,0.38,2.93,0.52,0.0,0.0,0.33,0.5,02:55.2,,50:57.0,2023-08-26_seungwoo choi_jarno errens
2023-08-19,UFC 292: Sterling vs. O'Malley,Bantamweight,sean o'malley,aljamain sterling,Aljamain Sterling,Sean O'Malley,1.42,3.1,underdog,fighter1,KO/TKO              Punches,2.0,180.34,61.23492,24/10/1994,182.88,Switch,7.25,0.61,3.51,0.61,0.43,0.42,0.62,0.4,170.18,61.23492,31/07/1989,180.34,Orthodox,4.73,0.52,2.41,0.58,1.97,0.24,0.45,0.8,02:55.2,40:25.9,50:57.0,2023-08-19_sean o'malley_aljamain sterling
2023-08-19,UFC 292: Sterling vs. O'Malley,Women's Strawweight,zhang weili,amanda lemos,,,,,,fighter1,U-DEC,5.0,162.56,52.16308,13/08/1989,160.02,Switch,5.94,0.51,3.44,0.53,2.29,0.42,0.66,0.4,162.56,52.16308,22/05/1987,165.1,Southpaw,3.54,0.55,4.66,0.42,0.82,0.55,0.55,0.8,02:55.2,,50:57.0,2023-08-19_zhang weili_amanda lemos
2023-08-19,UFC 292: Sterling vs. O'Malley,Welterweight,ian garry,neil magny,Ian Garry,Neil Magny,1.2,4.8,favourite,fighter1,U-DEC,3.0,190.5,77.11064,17/11/1997,187.96,Orthodox,6.67,0.56,3.58,0.53,0.67,0.75,0.69,0.0,190.5,77.11064,03/08/1987,203.2,Orthodox,3.45,0.46,2.4,0.53,2.22,0.4,0.55,0.3,02:55.2,40:25.9,50:57.0,2023-08-19_ian garry_neil magny
2023-08-19,UFC 292: Sterling vs. O'Malley,Bantamweight,mario bautista,da'mon blackshear,,,,,,fighter1,U-DEC,3.0,175.26,61.23492,01/07/1993,175.26,Switch,5.32,0.51,4.2,0.53,2.72,0.5,0.56,1.3,177.8,61.23492,12/08/1994,182.88,Switch,4.28,0.47,4.09,0.48,2.34,0.37,0.66,0.8,02:55.2,,50:57.0,2023-08-19_mario bautista_da'mon blackshear
2023-08-19,UFC 292: Sterling vs. O'Malley,Bantamweight,marlon vera,pedro munhoz,Marlon Vera,Pedro Munhoz,1.53,2.7,favourite,fighter1,U-DEC,3.0,172.72,61.23492,02/12/1992,177.8,Switch,4.37,0.5,5.16,0.51,0.58,0.39,0.7,0.9,167.64,61.23492,07/09/1986,165.1,Orthodox,5.45,0.43,6.14,0.56,0.47,0.19,0.82,0.5,02:55.2,40:25.9,50:57.0,2023-08-19_marlon vera_pedro munhoz
2023-08-19,UFC 292: Sterling vs. O'Malley,Middleweight,brad tavares,chris weidman,Brad Tavares,Chris Weidman,1.37,3.35,favourite,fighter1,U-DEC,3.0,185.42,83.91452,21/12/1987,187.96,Orthodox,3.38,0.43,3.03,0.56,0.81,0.26,0.82,0.0,187.96,83.91452,17/06/1984,198.12,Orthodox,2.98,0.43,3.27,0.5,3.6,0.43,0.65,0.8,02:55.2,40:25.9,50:57.0,2023-08-19_brad tavares_chris weidman
2023-08-19,UFC 292: Sterling vs. O'Malley,Middleweight,gregory rodrigues,denis tiuliulin,Gregory Rodrigues,Denis Tiuliulin,1.29,3.85,favourite,fighter1,KO/TKO              Elbows,1.0,190.5,83.91452,17/02/1992,190.5,Orthodox,5.99,0.55,5.67,0.51,2.4,0.5,1.0,0.5,185.42,83.91452,17/05/1988,195.58,Orthodox,5.04,0.41,5.83,0.4,0.0,0.0,0.69,0.0,02:55.2,40:25.9,50:57.0,2023-08-19_gregory rodrigues_denis tiuliulin
2023-08-19,UFC 292: Sterling vs. O'Malley,Lightweight,kurt holobaugh,austin hubbard,Austin Hubbard,Kurt Holobaugh,1.61,2.45,underdog,fighter1,SUB              Triangle Choke,2.0,180.34,70.30676,08/09/1986,177.8,Orthodox,4.89,0.44,4.44,0.48,0.87,0.36,0.5,1.1,177.8,70.30676,22/12/1991,180.34,Orthodox,3.83,0.46,3.37,0.56,1.55,0.52,0.63,0.0,02:55.2,40:25.9,50:57.0,2023-08-19_kurt holobaugh_austin hubbard
